id;name;location_id;status
11;ACEH;1;1
12;SUMATERA UTARA;1;1
13;SUMATERA BARAT;1;1
14;RIAU;1;1
15;JAMBI;1;1
16;SUMATERA SELATAN;1;1
17;BENGKULU;1;1
18;LAMPUNG;1;1
19;KEPULAUAN BANGKA BELITUNG;1;1
21;KEPULAUAN RIAU;1;1
31;DKI JAKARTA;1;1
32;JAWA BARAT;1;1
33;JAWA TENGAH;1;1
34;DAERAH ISTIMEWA YOGYAKARTA;1;1
35;JAWA TIMUR;1;1
36;BANTEN;1;1
51;BALI;1;1
52;NUSA TENGGARA BARAT;1;1
53;NUSA TENGGARA TIMUR;1;1
61;KALIMANTAN BARAT;1;1
62;KALIMANTAN TENGAH;1;1
63;KALIMANTAN SELATAN;1;1
64;KALIMANTAN TIMUR;1;1
65;KALIMANTAN UTARA;1;1
71;SULAWESI UTARA;1;1
72;SULAWESI TENGAH;1;1
73;SULAWESI SELATAN;1;1
74;SULAWESI TENGGARA;1;1
75;GORONTALO;1;1
76;SULAWESI BARAT;1;1
81;MALUKU;1;1
82;MALUKU UTARA;1;1
91;PAPUA;1;1
92;PAPUA BARAT;1;1
